schema|nome|args|grants|src_arquivos|seed_arquivos|migrations_n|outras_funcoes_que_citam
public|monde_ingest_remover_vendas|p_espelhaveis_ids uuid[], p_from date, p_to date, p_teto integer|service_role:EXECUTE|src/app/api/monde/ingest/route.ts src/lib/monde/reconciliacao.ts||1|
public|monde_ingest_status||service_role:EXECUTE|src/app/admin/uploads/actions.ts src/app/api/monde/ingest/route.ts src/components/metas/metas-auto-refresh.tsx src/components/metas/comparacao-content.tsx src/components/metas/tipos.ts src/lib/dre/ultima-carga-movimentacao.ts src/lib/rpc-contrato.test.ts src/lib/metas/sync-atraso.ts src/lib/metas/ultima-sincronizacao.ts||4|
public|monde_refresh_mv||service_role:EXECUTE|src/app/api/monde/ingest/route.ts src/lib/monde/ingest.ts||1|
public|monde_vendas_ausentes|p_numeros text[], p_from date, p_to date|service_role:EXECUTE|src/app/api/monde/ingest/route.ts src/lib/rpc-contrato.test.ts||1|
public|nota_existentes|p_refs text[]|authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/faturamento-corp/actions.ts||1|
public|onboarding_visto||authenticated:EXECUTE,service_role:EXECUTE|src/lib/onboarding.ts||1|
public|patrimonio_atualizar_ativo|p_id integer, p_descricao text, p_categoria_id smallint, p_codigo text, p_numero_serie text, p_fornecedor text, p_data_aquisicao date, p_valor_aquisicao numeric, p_nota_fiscal text, p_estado_conservacao text, p_obs text, p_area_destino_id smallint, p_detentor_destino_id integer|authenticated:EXECUTE,service_role:EXECUTE|src/app/gestao-pessoas/inventario/actions.ts||1|
public|patrimonio_atualizar_obs_movimentacao|p_id bigint, p_obs text|authenticated:EXECUTE,service_role:EXECUTE|src/app/gestao-pessoas/inventario/actions.ts||1|
public|patrimonio_catalogos||authenticated:EXECUTE,service_role:EXECUTE|src/components/gestao-pessoas/inventario/tipos.ts src/lib/patrimonio/carregar.ts src/lib/rpc-contrato.test.ts src/lib/schemas-rpc.ts||1|
public|patrimonio_criar_ativo|p_descricao text, p_categoria_id smallint, p_area_destino_id smallint, p_detentor_destino_id integer, p_codigo text, p_numero_serie text, p_fornecedor text, p_data_aquisicao date, p_valor_aquisicao numeric, p_nota_fiscal text, p_estado_conservacao text, p_obs text, p_data_movimentacao date, p_obs_movimentacao text|authenticated:EXECUTE,service_role:EXECUTE|src/app/gestao-pessoas/inventario/actions.ts||1|
public|patrimonio_detalhe_ativo|p_ativo_id integer|authenticated:EXECUTE,service_role:EXECUTE|src/app/gestao-pessoas/inventario/actions.ts src/lib/schemas-rpc.ts||1|
public|patrimonio_listar_ativos|p_busca text, p_categoria_id smallint, p_area_id smallint, p_status text|authenticated:EXECUTE,service_role:EXECUTE|src/lib/patrimonio/carregar.ts src/lib/rpc-contrato.test.ts src/lib/schemas-rpc.ts||1|
public|patrimonio_listar_movimentacoes|p_tipo text, p_busca text, p_limite integer|authenticated:EXECUTE,service_role:EXECUTE|src/lib/patrimonio/carregar.ts src/lib/rpc-contrato.test.ts src/lib/schemas-rpc.ts||1|
public|patrimonio_registrar_movimentacao|p_ativo_id integer, p_tipo text, p_data_movimentacao date, p_area_destino_id smallint, p_detentor_destino_id integer, p_destino_texto text, p_motivo_baixa text, p_obs text|authenticated:EXECUTE,service_role:EXECUTE|src/app/gestao-pessoas/inventario/actions.ts||1|
public|patrimonio_resumo||authenticated:EXECUTE,service_role:EXECUTE|src/components/gestao-pessoas/inventario/visao-geral-tab.tsx src/components/gestao-pessoas/inventario/tipos.ts src/lib/patrimonio/carregar.ts src/lib/rpc-contrato.test.ts src/lib/schemas-rpc.ts||1|
public|patrimonio_upsert_detentor|p_nome text|authenticated:EXECUTE,service_role:EXECUTE|src/app/gestao-pessoas/inventario/actions.ts||1|
public|promover_carga_pessoas||service_role:EXECUTE|src/app/admin/uploads/actions.ts||1|
public|promover_carga_vendas||service_role:EXECUTE|src/app/admin/uploads/actions.ts src/lib/rpc-contrato.test.ts src/lib/schemas-rpc.ts||5|
public|provisionar_dre_comp_par||authenticated:EXECUTE,service_role:EXECUTE|src/app/admin/uploads/actions.ts src/app/financeiro/dre/estrutura-competencia/page.tsx src/lib/schemas-rpc.ts||1|
public|rbac_verificar_guard|p_area text|service_role:EXECUTE,authenticated:EXECUTE|src/lib/rpc-contrato.test.ts||2|
public|refresh_all_materialized_views||service_role:EXECUTE|src/types/database.ts|supabase/seed/seed.ts|5|public.promover_carga_vendas
public|regenerar_dim_operacao_weddings||service_role:EXECUTE|src/app/admin/uploads/actions.ts src/types/database.ts src/lib/carga/lancamentos.ts||15|public.promover_carga_vendas
public|regenerar_fluxo_caixa||service_role:EXECUTE|src/app/admin/uploads/actions.ts|supabase/seed/seed-fluxo-caixa.ts|2|
public|registrar_email|p_dados jsonb|authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/faturamento-corp/actions.ts src/lib/rpc-contrato.test.ts src/lib/email/index.ts||1|
public|registrar_emissao|p_dados jsonb|authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/faturamento-corp/actions.ts||2|
public|registrar_ingestao_log|p_fonte text, p_status text, p_registros integer, p_erro text|service_role:EXECUTE|src/types/database.ts|supabase/seed/seed.ts|1|
public|registrar_nota|p_dados jsonb|authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/faturamento-corp/actions.ts||1|
